teraz zrób plik csv,instytucja,fundusz,DATA_fundusz,typ_aktywa,emitent,isin,waluta,liczba_sztuk,wartosc_nominalna,wartosc_wg_ceny_nabycia,wartosc_wg_wyceny,udziaĹ‚_proc_aktywa,termin_wykupu,rodzaj_oprocentowania,oprocentowanie,rodzaj_rynku,rynek,nazwa_instrumentu,typ_instrumentu,poziom_hierarchii,TYP_aktywo_std,wartosc_wg_wyceny_num
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Jednostk,i uczestnict,wa,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Certyfika,ty inwestyc,yjne,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Tytuły u,czestnictwa,emitowane p,rzez instytucje w,spólnego,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,inwesto,wania mając,e siedzibę za,granicą,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Wierzyte,lności,,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Udzielon,e pożyczki,pieniężne,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Weksle,,,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Depozyt,y,,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Waluty,,,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Nierucho,mości,,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Statki m,orskie,,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Inne,,,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Razem,,,,,,1 003 791,1 0,77,357,"95,99 6",89,928,7,51,855,,"97,85",10.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,W tabeli,prezentow,ane są instru,menty pochodne,posiadane przez,Subfundu,"sz, których wycena na",dzień,bila,nsowy jest dodatnia. Ko,mpletna informacja dotyczą,ca i,nstrume,ntów pochod,nych,posiadanych przez,Subf,undusz,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,znajduje,się w tabeli,uzupełniając,ej „Instrumenty,pochodne” oraz,w „Nocie 6,Instrumenty pochodne”,", w któ",ryc,h zaprezentowano także (,o ile takowe występowały),nie,wystanda,ryzowane ins,tru,"menty pochodne, któr",ych,wycena,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,na dzień,bilansowy,była ujemna i,która tym sam,ym została odnie,siona w z,obowiązania Subfundusz,u ora,z wy,standaryzowane instrum,"enty pochodne, których wa",rtoś,ć bilanso,wa wynosiła,zer,o z uwagi na dzienn,e roz,liczenia,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Zostały zaprezen,"towane tylko te tabele, które d",otyczą rodz,ajów lokat,posiadanyc,h przez Subfundusz na,dzi,eń b,ilansowy.,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,,,,,,,Kraj siedziby Wartość według,ce,Wartość we ny,dłu,g Procentowy udzi,ał w,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,AKCJE,Rodzaj,rynku,Nazwa r,ynku Liczb,a,,emitenta nabycia w tys,. zł,wyceny na d bilansowy w,zie tys,ń aktywach ogółe . zł,m,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,adidas AG (DE000,A1EWWW0),regulowany,,Xetra,,3,700,Niemcy,2,893,3,744,"0,33",,,,,700.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Adobe Systems In,c (US00724F1012),regulowany,,NASDAQ Stock,Market,1,714,Stany Zjednoczone,3,737,3,126,"0,28",,,,,714.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Advanced Micro D,evices Inc (US0079031078),regulowany,,NASDAQ Stock,Market,6,695,Stany Zjednoczone,3,315,3,317,"0,30",,,,,695.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,AGORA (PLAGORA,00067),regulowany,,Główny Rynek,GPW,67,802,Polska,,780,,668,"0,06",,,,,802.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,ALIOR (PLALIOR0,0045),regulowany,,Główny Rynek,GPW,2,488,Polska,,162,,214,"0,02",,,,,488.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Allegro.eu SA (LU,2237380790),regulowany,,Główny Rynek,GPW,431,355,Luksemburg,12,205,11,681,"1,04",,,,,355.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Alphabet Inc (US0,2079K3059),regulowany,,NASDAQ Stock,Market,5,925,Stany Zjednoczone,3,130,4,600,"0,41",,,,,925.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Amazon.com Inc (,US0231351067),regulowany,,NASDAQ Stock,Market,6,020,Stany Zjednoczone,4,429,5,418,"0,48",,,,,20.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Anglo American P,LC (GB00B1XZS820),regulowany,,London Stock,Exchange,29,200,Wielka Brytania,4,262,3,554,"0,32",,,,,200.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Apple Inc (US037,8331005),regulowany,,NASDAQ Stock,Market,4,292,Stany Zjednoczone,3,446,4,408,"0,39",,,,,292.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Archicom SA (PLA,RHCM00016),regulowany,,Główny Rynek,GPW,120,486,Polska,2,787,4,940,"0,44",,,,,486.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,ASML Holding NV,(NL0010273215),regulowany,,Euronext Ams,terdam,1,003,Holandia,2,786,2,909,"0,26",,,,,3.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,ASSECOSEE (PLAS,SEE00014),regulowany,,Główny Rynek,GPW,28,171,Polska,1,230,1,380,"0,12",,,,,171.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,ASTRAZENECA PL,C (GB0009895292),regulowany,,London Stock,Exchange,6,090,Wielka Brytania,3,223,3,282,"0,29",,,,,90.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,AUTOPARTN (PLA,TPRT00018),Aktywny ryn,ek - rynek,Główny Rynek,GPW,116,023,Polska,2,195,2,297,"0,20",,,,,23.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,regulowany,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,BAE Systems PLC,(GB0002634946),regulowany,,London Stock,Exchange,54,550,Wielka Brytania,2,591,3,226,"0,29",,,,,550.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,BARRICK GO,LD (CA0679011084),Aktywny rynek,-,rynek,Toronto Stock,Exchange,9,593,Kanada,,915,,610,"0,05",,,,9.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,regulowany,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,BENEFIT (PL,BNFTS00018),regulowany,,,Główny Rynek,GPW,4,575,Polska,4,600,13,245,"1,18",,,,4.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,BGZBNPP (P,LBGZ0000010),regulowany,,,Główny Rynek,GPW,4,250,Polska,,426,,362,"0,03",,,,4.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Bioceltix SA,(PLBCLTX00019),Aktywny rynek,-,rynek,Główny Rynek,GPW,21,177,Polska,1,213,1,855,"0,17",,,,21.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,regulowany,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,BUDIMEX (P,LBUDMX00013),regulowany,,,Główny Rynek,GPW,10,230,Polska,3,553,4,773,"0,43",,,,10.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,CCC (PLCCC,0000016),regulowany,,,Główny Rynek,GPW,4,665,Polska,,168,,857,"0,08",,,,4.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,CDPROJEKT,(PLOPTTC00011),regulowany,,,Główny Rynek,GPW,37,520,Polska,4,678,7,183,"0,64",,,,37.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Cie Financie,re Richemont SA (CH0210483332),regulowany,,,Six Swiss Exch,ange,3,150,Francja,1,976,1,971,"0,18",,,,3.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,CREOTECH,(PLCRTCH00017),Aktywny rynek,-,rynek,Główny Rynek,GPW,11,126,Polska,1,752,1,925,"0,17",,,,11.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,regulowany,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,cyber_Folks,S.A. (PLR220000018),regulowany,,,Główny Rynek,GPW,12,836,Polska,1,008,1,932,"0,17",,,,12.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Datawalk SA,(PLPILAB00012),regulowany,,,Główny Rynek,GPW,6,832,Polska,1,119,,387,"0,03",,,,6.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,DexCom Inc,(US2521311074),regulowany,,,NASDAQ Stock,Market,9,147,Stany Zjednoczone,4,156,2,917,"0,26",,,,9.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,DINOPL (PL,DINPL00011),regulowany,,,Główny Rynek,GPW,31,260,Polska,10,452,12,185,"1,10",,,,31.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,DOMDEV (P,LDMDVL00012),regulowany,,,Główny Rynek,GPW,13,087,Polska,1,852,2,384,"0,21",,,,13.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,GRENEVIA (,PLFAMUR00012),regulowany,,,Główny Rynek,GPW,879,517,Polska,3,190,1,931,"0,17",,,,879.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Indra Sistem,as SA (ES0118594417),regulowany,,,Spanish Stock,Exchange,31,334,Hiszpania,1,761,2,287,"0,20",,,,31.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,InPost SA (L,U2290522684),Aktywny rynek,-,rynek,Euronext Amst,erdam,62,568,Luksemburg,2,498,4,414,"0,39",,,,62.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,regulowany,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Intuitive Sur,gical Inc (US46120E6023),regulowany,,,NASDAQ Stock,Market,2,061,Stany Zjednoczone,3,251,4,412,"0,39",,,,2.0
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2030,2030,Jeronimo Ma,rtins SGPS SA (PTJMT0AE0001),regulowany,,,Euronext Lisbo,n,61,240,Portugalia,5,146,4,828,"0,43",,,,61.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Subfunduszu PPK inPZU 20,35 wydzi,elonego w ramach,PPK inPZU Specjali,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Funduszu Inwestycyjnego O,twarteg,o,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,za okres od 1 stycznia 2024 r.,do 31 gru,dnia 2024 r.,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Zarząd TFI PZU SA:,,,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Tomasz Stadnik,Prezes Zarz,ądu,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,,………………………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Tomasz Bilecki,Wiceprezes,Zarządu,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,,………………………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Marcin Dobrzański,Wiceprezes,Zarządu,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,,………………………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Marcin Jakubiak,Wiceprezes,Zarządu,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,,………………………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Jarosław Leśniczak,Wiceprezes,Zarządu,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,,………………………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Biuro Księgowości Fundu,szy TFI PZ,U SA:,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Marcin Bielecki,D,yrektor Biura,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,,…………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,"Warszawa, 24 marca 2025 r.",,,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Zarząd Towarzystwa Fu,nduszy Inwest,ycyjnych,PZU,S.A. zgodnie z Ust,awą z dnia 29 września 1994 r. o rachunkow,ości oraz,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Rozporządzeniem Minist,ra Finansów,z dnia,24 g,rudnia 2007 r. w,sprawie szczególnych zasad rachunkowości,funduszy,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,inPZU Specjalistycznego,Funduszu Inw,estycyjn,ego O,"twartego, zwanego","dalej „Subfunduszem”, obejmujące:",,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,I. Zestawienie lokat,według stanu,na 31 g,rudnia,"2024 r., z tabelam","i uzupełniającymi oraz dodatkowymi,",,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,II. Bilans sporządzon,y na dzień 31,grudnia,2024,"r.,",,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,III. Rachunek wyniku,z operacji za,okres od,1 sty,cznia do 31 grudnia,"2024 r.,",,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,IV. Zestawienie zmian,w aktywach,"netto,",,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,V. Noty objaśniające,",",,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,VI. Informację dodat,kową.,,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,ZEST,AWIENI,E LOKAT,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Zestawi,enie lokat,należy anali,zować łącznie,z notami objaś,niającymi,i informacją dodatko,"wą, k",tór,e stanowią integralną c,zęść prezentowanego s,pra,wozdan,ia jednostko,we,go.,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Tabela,Główn,a,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,,,,,31.1,2.202,4,,,,,31.12.202,3,,,,2.202
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,SKŁADNIKI,LOKAT,W,artość we,Warto dług ceny,ść we,dłu,g Procentowy udzi,ał w Wartość według,ce,ny,Wartość we,dłu,g Procentowy,udzi,ał w,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,,,,nabycia,wycen w tys. zł bilanso,y na d wy w,zie tys,ń aktywach ogół . zł,em nabycia w tys,. zł,b,wyceny na d ilansowy w,zie tys,ń aktywach . zł,ogół,em,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Akcje,,,,,,532 619,,620,988,"45,51",436,295,,510,691,,"53,63",
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Warrant,y subskrypc,yjne,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Prawa d,o akcji,,,,,0,,,0,"0,00",,845,,,962,,"0,10",
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Prawa p,oboru,,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Kwity de,pozytowe,,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Listy zas,tawne,,,,,8 018,,8,025,"0,59",3,000,,3,002,,"0,32",
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Dłużne p,apiery wart,ościowe,,,,647 618,,667,819,"48,95",392,063,,410,299,,"43,09",
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Instrum,enty pochod,ne,,,,0,,,563,"0,04",,0,,1,197,,"0,12",
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Udziały,w spółkach,z ograniczoną,odpowiedzialno,ścią,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Jednostk,i uczestnict,wa,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Certyfika,ty inwestyc,yjne,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Tytuły u,czestnictwa,emitowane p,rzez instytucje w,spólnego,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,inwesto,wania mając,e siedzibę za,granicą,,,6 765,,6,740,"0,49",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Wierzyte,lności,,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Udzielon,e pożyczki,pieniężne,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Weksle,,,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Depozyt,y,,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Waluty,,,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Nierucho,mości,,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Statki m,orskie,,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Inne,,,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Razem,,,,,,1 195 020,1 3,04,135,"95,58 8",32,203,9,26,151,,"97,26",13.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,W tabeli,prezentow,ane są instru,menty pochodne,posiadane przez,Subfundu,"sz, których wycena na",dzień,bila,nsowy jest dodatnia. Ko,mpletna informacja dotyczą,ca i,nstrume,ntów pochod,nych,posiadanych przez,Subf,undusz,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,znajduje,się w tabeli,uzupełniając,ej „Instrumenty,pochodne” oraz,w „Nocie 6,Instrumenty pochodne”,", w któ",ryc,h zaprezentowano także (,o ile takowe występowały),nie,wystanda,ryzowane ins,tru,"menty pochodne, któr",ych,wycena,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,na dzień,bilansowy,była ujemna i,która tym sam,ym została odnie,siona w z,obowiązania Subfundusz,u ora,z wy,standaryzowane instrum,"enty pochodne, których wa",rtoś,ć bilanso,wa wynosiła,zer,o z uwagi na dzienn,e roz,liczenia,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,AKCJE,Rodzaj,rynku,Nazwa r,ynku Liczba,,,emitenta nabycia w tys,. z,wyceny na d ł bilansowy w,zie tys,ń aktywach ogółe . zł,m,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,adidas AG (DE000,A1EWWW0),regulowany,,Xetra,,6,910,Niemcy,5,402,6,992,"0,51",,,,,910.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Adobe Systems In,c (US00724F1012),regulowany,,NASDAQ Stock,Market,3,124,Stany Zjednoczone,6,810,5,697,"0,42",,,,,124.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Advanced Micro D,evices Inc (US0079031078),regulowany,,NASDAQ Stock,Market,12,295,Stany Zjednoczone,6,065,6,091,"0,45",,,,,295.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,AGORA (PLAGORA,00067),regulowany,,Główny Rynek,GPW,123,737,Polska,1,427,1,219,"0,09",,,,,737.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,ALIOR (PLALIOR0,0045),regulowany,,Główny Rynek,GPW,4,562,Polska,,298,,392,"0,03",,,,,562.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Allegro.eu SA (LU,2237380790),regulowany,,Główny Rynek,GPW,788,650,Luksemburg,22,360,21,357,"1,57",,,,,650.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Alphabet Inc (US0,2079K3059),regulowany,,NASDAQ Stock,Market,11,060,Stany Zjednoczone,5,835,8,587,"0,63",,,,,60.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Amazon.com Inc (,US0231351067),regulowany,,NASDAQ Stock,Market,11,085,Stany Zjednoczone,8,165,9,974,"0,73",,,,,85.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Anglo American P,LC (GB00B1XZS820),regulowany,,London Stock,Exchange,53,580,Wielka Brytania,7,773,6,522,"0,48",,,,,580.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Apple Inc (US037,8331005),regulowany,,NASDAQ Stock,Market,7,838,Stany Zjednoczone,6,309,8,050,"0,59",,,,,838.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Archicom SA (PLA,RHCM00016),regulowany,,Główny Rynek,GPW,225,264,Polska,5,271,9,236,"0,68",,,,,264.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,ASML Holding NV,(NL0010273215),regulowany,,Euronext Ams,terdam,1,872,Holandia,5,204,5,429,"0,40",,,,,872.0
