COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;Pocztylion;Santander TFI S.A.;UNIQA TFI S.A.;Vienna Life;TOTAL;Allianz Polska TFI S.A._pct;BNP Paribas TFI S.A._pct;ESALIENS TFI S.A._pct;Generali Investments TFI S.A._pct;Goldman Sachs TFI S.A._pct;Investors TFI S.A._pct;Millennium TFI S.A._pct;Nationale-Nederlanden_pct;PFR TFI S.A._pct;PKO TFI S.A._pct;PZU TFI S.A._pct;Pekao TFI S.A._pct;Pocztylion_pct;Santander TFI S.A._pct;UNIQA TFI S.A._pct;Vienna Life_pct;TOTAL_pct
SYNEKTIK S.A.;SNT PW Equity;0;-6332;2007;0;-31340;-2846;0;97773.4;-47;14988;0;0;0;0;0;0;74203.4;;-0.9580874564987138;;;-0.7579018645256464;-0.35916203937405356;;;-0.033380681818181768;;;;;;;;1.2951790825944283
Samsung Electronics;SMSN LI Equity;0;0;0;0;0;0;0;0;0;0;0;2882;0;0;0;0;2882;;;;;;;;;;;;2.2445482866043616;;;;;2.2445482866043616
Santander Bank Polska S.A.;SPL PW Equity;22585;1391;14593;2732;14480;-1578;-263;28553.6;7592;91988;8660;-1108;-1023.8;18404;14809;7809;229623.9;0.25500756497978916;0.09306837949953174;0.9793959731543625;0.1865355728526561;0.20181184668989548;-0.05198142108904047;-0.034857521537442038;0.283399608650579;1.3525743809014784;0.3243216562306086;0.038983546782506817;-0.03439818695476704;-0.07509581635534756;1.9281299109481404;0.5706743737957611;;0.24527411447727452
Schneider Electric SE;SU FP Equity;0;0;0;0;0;0;0;-1325.2;1054;0;22937;0;0;0;0;0;22665.8;;;;;;;;-0.10745794707786526;;;;;;;;;1.8379559652548477
Scholar Rock Holding Corp.;SRRK US Equity;0;0;0;0;0;0;0;-57319;0;0;0;0;0;0;0;0;-57319;;;;;;;;-1;;;;;;;;;-1
Scope Fluidics SA;SCP PW Equity;0;0;0;0;0;0;0;0;0;0;-24871;0;0;0;0;0;-24871;;;;;;;;;;;-1;;;;;;-1
SentinelOne Inc.;S US Equity;0;0;0;0;0;0;0;-59902.4;0;0;0;0;0;0;0;0;-59902.4;;;;;;;;-1;;;;;;;;;-1
Snowflake Inc.;SNOW US Equity;0;0;0;0;0;0;0;25210.1;0;0;0;0;0;0;0;0;25210.1;;;;;;;;;;;;;;;;;
Starbucks Corp;SBUX US Equity;0;0;0;-5050;0;0;0;0;0;0;0;0;0;0;0;0;-5050;;;;-1;;;;;;;;;;;;;-1
TALEX SA;TLX PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;;;;;;;0
TAURON POLSKA ENERGIA S.A.;TPE PW Equity;3998624;32048;0;147703;-1035659;413106;-265;0;248343;769257;5478464;-1937798;-20719.4;-819044;-490423;3442;6787078.6;;0.12054374073767594;;0.53309680725892015;-0.3712015478036342;1.117838066013995;-0.0012177861108046972;;3.0997541096146887;0.09033766308192547;;-0.618063168302621;-0.05976742541814617;-1;-0.6075050106902984;;0.38510781273568305
TECNICAS REUNIDAS SA;TRE SM Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45000;0;45000;;;;;;;;;;;;;;;;;
TEN SQUARE GAMES SA;TEN PW Equity;-121261;0;0;-9320;5983;0;801;0;0;-6100;0;-6213;0;0;0;53;-136057;-1;;;-1;0.7085504500236854;;0.18254329990884234;;;-0.07946950846154843;;-0.10618697658519915;;;;;-0.48821595940893204
THYSSENKRUPP AG;TKA GR Equity;0;0;0;0;124170;0;0;0;0;0;0;0;0;0;0;0;124170;;;;;;;;;;;;;;;;;
TKMS AG& CO KGAA;TKMS GR Equity;0;0;0;0;20205;0;0;0;0;0;0;0;0;0;0;0;20205;;;;;;;;;;;;;;;;;
TOLL BROTHERS INC;TOL US Equity;0;0;0;0;0;-1029;0;0;0;0;0;0;0;0;0;0;-1029;;;;;;-1;;;;;;;;;;;-1
TORPOL S.A.;TOR PW Equity;0;16865;0;0;1518;0;-411;-23628.7;0;-13000;0;0;0;-31763;0;47924;-2495.7;;;;;0.011511948006643236;;-0.07023239917976765;-0.06224485745024877;;-0.019159290339885837;;;;-0.6249852426114675;0;;-0.0019702876019110915
TOYA S.A.;TOA PW Equity;0;-12290;0;0;572059;0;0;0;0;0;0;0;0;0;0;0;559769;;-0.397721756577457;;;;0;;;;;;;;;;;5.667915472706839
TREX COMPANY INC;TREX US Equity;0;0;0;0;0;-792;0;0;0;0;0;0;0;0;0;0;-792;;;;;;-1;;;;;;;;;;;-1
Take-Two Interactive Software Inc;TTWO US Equity;0;0;0;-2461;0;0;0;0;0;0;0;0;0;0;0;0;-2461;;;;-1;;;;;;;;;;;;;-1
Tarsus Pharmaceuticals Inc.;TARS US Equity;0;0;0;0;0;0;0;-46978.4;0;0;0;0;0;0;0;0;-46978.4;;;;;;;;-1;;;;;;;;;-1
Tesla Inc.;TSLA US Equity;0;0;0;-654;0;-439;0;-6191.6;0;0;0;0;0;0;0;0;-7284.6;;;;-1;;-1;;-1;;;;;;;;;-1
Thales SA;HO FP Equity;0;0;0;0;0;0;0;0;0;0;-42971;0;0;0;0;0;-42971;;;;;;;;;;;-0.8089420180722891;;;;;;-0.8089420180722891
The TJX Companies, Inc.;TJX US Equity;0;0;0;0;0;0;0;0;0;0;-20285;0;0;0;0;0;-20285;;;;;;;;;;;-0.30203540745373058;;;;;;-0.30203540745373058
UBER TECHNOLOGIES INC;UBER US Equity;0;0;0;0;16599;595;0;0;0;0;0;0;0;0;0;0;17194;;;;;;;;;;;;;;;;;
UNIBEP SA;UNI PW Equity;663686;-18283;0;0;0;0;0;0;0;175000;0;0;0;0;0;0;820403;;-0.38367749517334005;;;;;;;;0.3711637574497868;;;;;;;1.5803055811319445
UNIMOT S.A.;UNT PW Equity;0;0;0;0;0;0;0;-21119.1;0;0;0;0;0;0;0;0;-21119.1;;0;;;;;;-1;;;;;;;;;-0.9501508521594849
Ultimate Games S.A.;ULG PW Equity;-3500;-905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4405;-1;-1;;;;;;;;;;;;;;;-1
UniCredit S.p.A.;UCG IM Equity;0;0;0;0;0;0;0;53010.2;0;0;0;0;0;0;0;0;53010.2;;;;;;;;;;;;;;;;;
Urteste S.A.;URT PW Equity;-1835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1835;-0.08186482266339501;;;;;;;;;;;;;;;;-0.08186482266339501
VERCOM S.A;VRC PW Equity;36552;8727;0;9776;3973;15050;0;-33453.5;13229;64687;318023;-18;0;17508;38378;644;493075.5;0.25580874531101273;;;;0.031211702227948335;;;-0.4645047119052148;2.492745430563407;21.736223118279568;;-0.009911894273127775;;;;;1.399595031148284
VIENNA INSURANCE GROUP AG;VIG AV Equity;0;0;0;0;38108;0;0;0;0;0;0;0;0;0;0;0;38108;;;;;;;;;;;;;;;;;
VIGO PHOTONICS S.A.;VGO PW Equity;0;-15;0;0;-98;-39;-229;0;0;0;-8555;0;0;0;0;0;-8936;;-0.027272727272727226;;0;-0.02401372212692965;-0.013527575442247697;-0.16727538349159975;;;;-1;;;;;;-0.44566355792728544
VINCI SA;DG FP Equity;0;0;0;0;0;1511;0;-19922.9;0;0;0;0;0;0;0;0;-18411.9;;;;;;0.6541125541125541;;-1;;;;;;;;;-0.8281374252908306
VISA INC.;V US Equity;0;0;0;0;0;-923;0;354.3;0;0;0;0;0;0;0;0;-568.7;;;;;;-0.56869993838570544;;0.0846265373343238;;;;;;;;;-0.0978891943204644
VOTUM S.A.;VOT PW Equity;0;0;0;0;-9344;0;0;0;0;0;0;0;0;0;0;0;-9344;;0;;;-0.2018186137929545;;;;;;;;;;;;-0.18021215043394413
VOXEL S.A.;VOX PW Equity;-8349;-1327;0;0;-11;0;0;0;0;11254;46690;-2571;0;0;0;21883;67569;-0.075286755157985885;-0.17686258829801417;;;-0.0001553409026718855;;;;;;0.20914710625335964;-0.07373734476725846;;;;;0.15105361286601472
VRG S.A.;VRG PW Equity;2240798;47998;0;0;0;0;2076;0;-66024;0;0;0;43534.3;-209860;0;0;2058522.3;;1454.4848484848486;;;;;0.1416871416871417;;-1;0;;;0.12449339962151186;-0.242256473717262;;;1.5772167349950027
VULCAN MATERIALS CO;VMC US Equity;0;0;0;0;0;-223;0;0;0;0;0;0;0;0;0;0;-223;;;;;;-0.10238751147842063;;;;;;;;;;;-0.10238751147842063
Varonis Systems Inc.;VRNS US Equity;0;0;0;0;0;0;0;-26873.7;0;0;0;0;0;0;0;0;-26873.7;;;;;;;;-1;;;;;;;;;-1
Vertiv Holdings Co.;VRT US Equity;0;0;0;0;0;0;0;-16461.6;0;0;0;0;0;-2728;0;0;-19189.6;;;;;;;;-0.410196650870075;;;;;;-1;;;-0.44773795574420504
Vestas Wind Systems A/S;VWS DC Equity;0;0;0;0;0;0;0;0;0;0;0;10656;0;0;0;0;10656;;;;;;;;;;;;0.4155357978474497;;;;;0.4155357978474497
Vonovia SE;VNA GR Equity;0;0;0;0;0;0;0;0;0;0;0;170816;0;0;0;0;170816;;;;;;;;;;;;3.3347519668898735;;;;;3.3347519668898735
WABTEC CORP;WAB US Equity;0;0;0;0;0;-190;0;0;0;0;0;0;0;0;0;0;-190;;;;;;-0.10047593865679538;;;;;;;;;;;-0.10047593865679538
WALMART INC;WMT US Equity;0;0;0;-2741;0;-1277;0;-29053;0;0;0;0;0;0;0;0;-33071;;;;-1;;-0.3738290398126464;;-0.8434990536640288;;;;;;;;;-0.8145479954985632
WASTE CONNECTIONS INC;WCN CN Equity;0;0;0;0;0;-58;0;0;0;0;0;0;0;0;0;0;-58;;;;;;-0.032511210762331877;;;;;;;;;;;-0.032511210762331877
WASTE MANAGEMENT INC;WM US Equity;0;0;0;0;0;-12;0;5160;0;0;0;0;0;0;0;0;5148;;;;;;-0.01264488935721808;;;;;;;;;;;5.424699683877766
WELLS FARGO & CO;WFC US Equity;0;0;0;-3037;0;-1892;0;-40050.3;0;0;0;0;0;0;0;0;-44979.3;;;;-1;;-0.4064446831364125;;-0.47671979311561394;;;;;;;;;-0.4904822181419508
WIRTUALNA POLSKA HOLDING S.A.;WPL PW Equity;-83386;3984;49751;-9455;0;-3223;1546;0;1847;-40439;-227467;-56728;3063.8;6170;-65345;4;-419677.2;-0.3684836165182615;0.55853077246600314;;-0.24398740710156897;;-0.16105336797921243;0.1738055087127599;;0.5641417226634087;-0.15578266932731344;-1;-0.5367953898125455;0.11662898080685814;0.24074290842405087;-0.9039786404006308;;-0.4109334208576746
WITTCHEN S.A.;WTN PW Equity;0;-961;-74900;0;-62842;0;0;0;0;0;0;0;0;-42515;-970;10987;-171201;;-0.10803822372119164;-1;;-1;;;;;;;;;-1;-0.01352934612809642;;-0.6563247561798443
Walt Disney Co/The;DIS US Equity;0;0;0;-4541;0;0;0;0;0;0;0;0;0;0;0;0;-4541;;;;-1;;;;;;;;;;;;;-1
Western Digital Corp.;WDC US Equity;0;0;0;0;0;0;0;27818.7;0;0;0;0;0;0;0;0;27818.7;;;;;;;;;;;;;;;;;
Wheaton Precious Metals Corp.;WPM CN Equity;0;0;0;0;0;0;0;23401.4;0;0;0;0;0;0;0;0;23401.4;;;;;;;;;;;;;;;;;
Wielton S.A.;WLT PW Equity;0;-282;0;0;0;0;5077;0;0;0;0;0;0;-116673;0;0;-111878;;-0.012722187133447638;;;;;0.2271181891384093;;;;;0;;-1;;;-0.3153118368060155
Wizz Air Holdings Plc;WIZZ LN Equity;0;0;0;0;0;0;0;0;0;0;0;23555;0;15375;0;0;38930;;;;;;;;;;;;0.3664265824557036;;0.5577523035623595;;;0.42384783721107475
XTB S.A.;XTB PW Equity;267190;-393;103940;19700;-67614;36593;14482;165701.2;565;136763;487083;289153;0;91068;-10155;65558;1599634.2;;-0.006848002230392614;1.2326119181737324;0.3281091254309556;-0.354291223676006;0.4414326384867786;0.6510812390414962;0.3457708854120314;0.02580026485227638;0.2909597247899651;0.764695908553558;1.9311111704756433;;2.587085594159257;-0.05510606085271952;;0.6462963267854136
Xylem Inc.;XYL US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;0;;;;;0
ZABKA GROUP SA;ZAB PW Equity;244008;103996;680829;-82443;338952;270897;2064;-204880.9;147767;837109;-905295;1836144;636.2;-291672;-108413;120;2869818.3;;0.9732350078610466;;-0.20580342543891405;7.882421339038627;0.9176168119830092;0.03008570928808818;-0.1197715803580176;;0.2274760753230922;-0.22157907721949886;;0.0038652955174347525;-1;-0.17073370468185768;;0.24994581384718707
ZESPÓŁ ELEKTROWNI PĄTNÓW-ADAMÓW-KONIN S.A.;ZEP PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;0
ZUE S.A.;ZUE PW Equity;0;-273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-273;;-0.018761597141089936;;;;;;;;;;;;;;;-0.018761597141089936
Zalando SE;ZAL GR Equity;0;0;-752;0;0;0;0;0;0;0;0;0;0;-11735;-27000;0;-39487;;;-1;0;;;;;;;;;;-1;-1;;-0.6864081214038626
Zoetis Inc.;ZTS US Equity;0;0;0;0;0;0;0;0;0;0;0;16684;0;0;0;0;16684;;;;;;;;;;;;;;;;;
